trial,slope,tau_ms,weight_subthreshold,lr,polyak_alpha,polyak_beta,grad_clip_norm,init_dist,init_C_m,init_g_L,init_v_reset,init_v_T,init_E_L,init_delta_T,final_loss,min_loss,gamma,n_spikes_sim,elapsed_s
766,2.2890587607078423,2.890530931998776,0.19764503004522624,0.03396553125520154,0.0,0.0,3.9432154422635146,0.3804514240132946,55.62462656165389,8.215748039779587,-61.70118655745301,-41.450318273900024,-77.5327666612035,17.519727497183823,nan,4.674079418182373,nan,0,0.9830777645111084
767,0.7971933725656233,3.350688941352377,0.17089352729392845,0.01495546992053229,0.0,0.0,9.31157416260313,0.42328576828419157,138.63321598911503,13.410741227116592,-48.923899150955236,-38.77356276298774,-99.67159514880429,11.097511870556735,7.869894981384277,7.869894981384277,nan,0,1.0314350128173828
768,1.550979941840931,3.682240129008643,0.06430363108433491,0.03301554679436778,0.0,0.0,1.349384031698958,0.3397006858915834,179.3344173200227,13.80882006275672,-79.59234541920114,-51.82213665137253,-94.59423863363682,6.482156825855278,5.8564300537109375,5.8564300537109375,nan,0,1.0067808628082275
769,6.391418222968815,3.982000496152977,0.21282387451839743,0.012327632553512664,0.0,0.0,0.14392437193293978,0.2696656135801961,198.00758894547738,6.360571493147233,-67.41978374970378,-42.20788479309912,-91.69671264018574,3.737208090152738,6.948806285858154,6.8474555015563965,0.048066875653082534,2,1.0180377960205078
770,2.795569633021315,2.3235649155845315,0.19322605720099215,0.011155156895152094,0.0,0.0,0.16062233995682534,0.19510775132455804,150.49606873459012,10.18088189114895,-45.63564073594459,-41.28684452196977,-65.62208054694422,4.540700181204032,3.6986517906188965,3.6986517906188965,1.0,9,0.9877398014068604
771,5.90751447909143,3.5990252114364574,0.11920016526196224,0.019140735865653628,0.0,0.0,8.649707948579168,0.15850211412327458,185.16685213391753,10.413105757599332,-55.062167527957385,-48.31121343730277,-100.44241311291874,1.8689966058373657,6.653842449188232,6.653842449188232,nan,0,1.006080150604248
772,6.106856136278198,3.774845796273473,0.0013202765710651708,0.014576606231603942,0.0,0.0,2.2828103109675286,0.2823951414185162,202.80629918513984,12.518466788693274,-74.31110931747823,-43.87047751140399,-76.80198347605274,11.594874912242622,4.636794090270996,4.616751194000244,0.048066875653082534,2,1.010467767715454
773,8.569635664352901,2.0977507537017512,0.1339743450528563,0.04743314541454911,0.0,0.0,3.1984402101205047,0.35488702143659284,82.96264771210421,13.047567217486352,-57.514577686049925,-41.99456219965374,-80.65484617239507,14.70448476011667,6.992393970489502,5.6430487632751465,-0.3428571428571428,5,1.0060429573059082
774,0.5450432326628023,3.508181120371147,0.0018174351390755183,0.016419481090315192,0.0,0.0,2.2466091087354085,0.41433556774369856,43.36544333492213,13.380755186490507,-69.99662207145245,-39.086219424251055,-69.79771081563887,13.373248526540783,4.311293601989746,3.798096179962158,0.0871327254305978,12,1.390251874923706
775,8.607009863752484,2.709450642393101,0.022499546789711954,0.01213785746479739,0.0,0.0,0.22868369636709154,0.31476376988960775,147.6091752804114,6.872385689372648,-64.73225708721301,-44.70889038379646,-106.31588273827522,3.1177782180733358,5.01914119720459,5.01914119720459,nan,0,1.0160021781921387
