scenario,delta,direction_idx,gamma,n_spikes_sim
adaptation,0.8,8,-0.17045454545454547,3
adaptation,0.8,9,0.05291005291005289,4
adaptation,0.8,10,-0.17857142857142852,9
adaptation,0.8,11,-1.0,1660
adaptation,0.8,12,0.2777777777777778,1
adaptation,0.8,13,0.0,0
adaptation,0.8,14,-1.0,27
adaptation,0.8,15,0.25,5
adaptation,0.8,16,0.31746031746031744,4
adaptation,0.8,17,0.11363636363636365,3
adaptation,0.8,18,-0.25,5
adaptation,0.8,19,-0.9722222222222222,19
adaptation,0.8,20,-0.12422360248447205,2
adaptation,0.8,21,-0.12422360248447205,2
adaptation,0.8,22,-0.12422360248447205,2
adaptation,0.8,23,0.0,0
adaptation,0.8,24,-0.12422360248447205,2
adaptation,0.8,25,0.11363636363636365,3
adaptation,0.8,26,0.0,0
adaptation,0.8,27,-0.12422360248447205,2
adaptation,0.8,28,-0.06944444444444445,1
adaptation,0.8,29,-0.25,5
initial_bursting,0.02,0,0.9999999999999999,7
initial_bursting,0.02,1,0.9999999999999999,7
initial_bursting,0.02,2,0.40476190476190477,7
initial_bursting,0.02,3,0.6031746031746031,7
initial_bursting,0.02,4,0.2063492063492063,7
initial_bursting,0.02,5,0.40476190476190477,7
initial_bursting,0.02,6,0.8015873015873016,7
initial_bursting,0.02,7,0.9999999999999999,7
initial_bursting,0.02,8,0.9999999999999999,7
initial_bursting,0.02,9,0.9999999999999999,7
initial_bursting,0.02,10,0.9999999999999999,7
initial_bursting,0.02,11,0.9999999999999999,7
initial_bursting,0.02,12,-0.04705882352941181,8
initial_bursting,0.02,13,0.9999999999999999,7
initial_bursting,0.02,14,0.8015873015873016,7
initial_bursting,0.02,15,0.6031746031746031,7
initial_bursting,0.02,16,0.9999999999999999,7
initial_bursting,0.02,17,0.40476190476190477,7
initial_bursting,0.02,18,0.9999999999999999,7
initial_bursting,0.02,19,0.9999999999999999,7
initial_bursting,0.02,20,0.9999999999999999,7
initial_bursting,0.02,21,0.9999999999999999,7
initial_bursting,0.02,22,0.9999999999999999,7
initial_bursting,0.02,23,0.6031746031746031,7
initial_bursting,0.02,24,0.9999999999999999,7
initial_bursting,0.02,25,0.9999999999999999,7
initial_bursting,0.02,26,0.9999999999999999,7
initial_bursting,0.02,27,0.8015873015873016,7
initial_bursting,0.02,28,0.40476190476190477,7
initial_bursting,0.02,29,0.9999999999999999,7
initial_bursting,0.05,0,0.9999999999999999,7
initial_bursting,0.05,1,0.8015873015873016,7
initial_bursting,0.05,2,-0.24313725490196084,8
initial_bursting,0.05,3,-0.04705882352941181,8
initial_bursting,0.05,4,-0.13765182186234817,6
initial_bursting,0.05,5,-0.19047619047619052,7
initial_bursting,0.05,6,-0.04705882352941181,8
initial_bursting,0.05,7,-0.04705882352941181,8
initial_bursting,0.05,8,-0.04705882352941181,8
initial_bursting,0.05,9,0.2063492063492063,7
initial_bursting,0.05,10,0.9999999999999999,7
initial_bursting,0.05,11,0.0079365079365079,7
initial_bursting,0.05,12,0.14901960784313723,8
initial_bursting,0.05,13,0.40476190476190477,7
initial_bursting,0.05,14,-0.04705882352941181,8
initial_bursting,0.05,15,0.0079365079365079,7
initial_bursting,0.05,16,-0.04705882352941181,8
initial_bursting,0.05,17,0.0079365079365079,7
initial_bursting,0.05,18,0.9999999999999999,7
initial_bursting,0.05,19,0.40476190476190477,7
initial_bursting,0.05,20,0.9999999999999999,7
initial_bursting,0.05,21,0.9999999999999999,7
initial_bursting,0.05,22,0.0079365079365079,7
initial_bursting,0.05,23,0.0079365079365079,7
initial_bursting,0.05,24,0.9999999999999999,7
initial_bursting,0.05,25,-0.04705882352941181,8
initial_bursting,0.05,26,0.40476190476190477,7
initial_bursting,0.05,27,-0.24313725490196084,8
initial_bursting,0.05,28,-0.19047619047619052,7
initial_bursting,0.05,29,0.9999999999999999,7
initial_bursting,0.1,0,0.9999999999999999,7
initial_bursting,0.1,1,0.34509803921568627,8
initial_bursting,0.1,2,0.14901960784313723,8
initial_bursting,0.1,3,0.34509803921568627,8
initial_bursting,0.1,4,0.06477732793522269,6
initial_bursting,0.1,5,0.06477732793522269,6
initial_bursting,0.1,6,-0.04705882352941181,8
initial_bursting,0.1,7,-0.43921568627450985,8
initial_bursting,0.1,8,-0.24313725490196084,8
initial_bursting,0.1,9,-0.13765182186234817,6
initial_bursting,0.1,10,0.8015873015873016,7
initial_bursting,0.1,11,-0.3888888888888889,7
initial_bursting,0.1,12,0.2890625,9
initial_bursting,0.1,13,-0.04705882352941181,8
initial_bursting,0.1,14,0.14901960784313723,8
initial_bursting,0.1,15,0.06477732793522269,6
initial_bursting,0.1,16,-0.24313725490196084,8
initial_bursting,0.1,17,0.26720647773279355,6
initial_bursting,0.1,18,0.8015873015873016,7
initial_bursting,0.1,19,0.0079365079365079,7
initial_bursting,0.1,20,0.40476190476190477,7
initial_bursting,0.1,21,0.8015873015873016,7
initial_bursting,0.1,22,-0.24313725490196084,8
initial_bursting,0.1,23,-0.13765182186234817,6
initial_bursting,0.1,24,-0.3888888888888889,7
initial_bursting,0.1,25,-0.24313725490196084,8
initial_bursting,0.1,26,-0.04705882352941181,8
initial_bursting,0.1,27,-0.24313725490196084,8
initial_bursting,0.1,28,0.06477732793522269,6
initial_bursting,0.1,29,0.2063492063492063,7
initial_bursting,0.2,0,0.14901960784313723,8
initial_bursting,0.2,1,0.09375,9
initial_bursting,0.2,2,0.2352941176470588,10
initial_bursting,0.2,3,0.2352941176470588,10
initial_bursting,0.2,4,0.12499999999999997,5
initial_bursting,0.2,5,-0.08333333333333337,5
initial_bursting,0.2,6,0.09375,9
initial_bursting,0.2,7,0.09375,9
initial_bursting,0.2,8,-0.04705882352941181,8
initial_bursting,0.2,9,0.26720647773279355,6
initial_bursting,0.2,10,0.40476190476190477,7
initial_bursting,0.2,11,0.26720647773279355,6
initial_bursting,0.2,12,0.1825396825396825,11
initial_bursting,0.2,13,0.14901960784313723,8
initial_bursting,0.2,14,-0.15686274509803927,10
initial_bursting,0.2,15,-0.13765182186234817,6
initial_bursting,0.2,16,-0.1015625,9
initial_bursting,0.2,17,-0.08333333333333337,5
initial_bursting,0.2,18,0.14901960784313723,8
initial_bursting,0.2,19,0.26720647773279355,6
initial_bursting,0.2,20,0.0079365079365079,7
initial_bursting,0.2,21,0.34509803921568627,8
initial_bursting,0.2,22,0.9999999999999999,7
initial_bursting,0.2,23,0.06477732793522269,6
initial_bursting,0.2,24,-0.3888888888888889,7
initial_bursting,0.2,25,-0.24313725490196084,8
initial_bursting,0.2,26,-0.04705882352941181,8
initial_bursting,0.2,27,-0.3888888888888889,7
initial_bursting,0.2,28,-0.08333333333333337,5
initial_bursting,0.2,29,0.6031746031746031,7
initial_bursting,0.4,0,0.09375,9
initial_bursting,0.4,1,0.2833333333333333,13
initial_bursting,0.4,2,0.12955465587044535,12
initial_bursting,0.4,3,-0.8405797101449276,16
initial_bursting,0.4,4,-0.19090909090909092,3
initial_bursting,0.4,5,-0.025974025974025997,4
initial_bursting,0.4,6,0.3809523809523809,11
initial_bursting,0.4,7,0.039215686274509755,10
initial_bursting,0.4,8,0.14901960784313723,8
initial_bursting,0.4,9,0.12499999999999997,5
initial_bursting,0.4,10,0.26720647773279355,6
initial_bursting,0.4,11,0.3333333333333333,5
initial_bursting,0.4,12,0.3229166666666665,17
initial_bursting,0.4,13,0.2890625,9
initial_bursting,0.4,14,0.017316017316017236,14
initial_bursting,0.4,15,-0.2916666666666667,5
initial_bursting,0.4,16,0.2352941176470588,10
initial_bursting,0.4,17,-0.025974025974025997,4
initial_bursting,0.4,18,0.2890625,9
initial_bursting,0.4,19,0.12499999999999997,5
initial_bursting,0.4,20,0.0079365079365079,7
initial_bursting,0.4,21,0.09375,9
initial_bursting,0.4,22,0.40476190476190477,7
initial_bursting,0.4,23,-0.08333333333333337,5
initial_bursting,0.4,24,-0.19047619047619052,7
initial_bursting,0.4,25,-0.24313725490196084,8
initial_bursting,0.4,26,-0.1015625,9
initial_bursting,0.4,27,0.2063492063492063,7
initial_bursting,0.4,28,0.12499999999999997,5
initial_bursting,0.4,29,0.26720647773279355,6
initial_bursting,0.8,0,0.3229166666666665,17
initial_bursting,0.8,1,0.2352941176470588,10
initial_bursting,0.8,2,0.23376623376623373,14
initial_bursting,0.8,3,-1.0,40
initial_bursting,0.8,4,0.10628019323671496,2
initial_bursting,0.8,5,-0.1352657004830918,2
initial_bursting,0.8,6,-0.07287449392712547,12
initial_bursting,0.8,7,0.07499999999999998,13
initial_bursting,0.8,8,-0.19047619047619052,7
initial_bursting,0.8,9,-0.1352657004830918,2
initial_bursting,0.8,10,-0.08333333333333337,5
initial_bursting,0.8,11,-0.025974025974025997,4
initial_bursting,0.8,12,-1.0,883
initial_bursting,0.8,13,0.09375,9
initial_bursting,0.8,14,-1.0,80
initial_bursting,0.8,15,0.4069264069264069,4
initial_bursting,0.8,16,0.07499999999999998,13
initial_bursting,0.8,17,0.036363636363636376,3
initial_bursting,0.8,18,0.039215686274509755,10
initial_bursting,0.8,19,-0.19090909090909092,3
initial_bursting,0.8,20,0.0079365079365079,7
initial_bursting,0.8,21,-0.3888888888888889,7
initial_bursting,0.8,22,0.06477732793522269,6
initial_bursting,0.8,23,0.12499999999999997,5
initial_bursting,0.8,24,-0.08333333333333337,5
initial_bursting,0.8,25,-0.3888888888888889,7
initial_bursting,0.8,26,-0.13765182186234817,6
initial_bursting,0.8,27,0.0079365079365079,7
initial_bursting,0.8,28,-0.025974025974025997,4
initial_bursting,0.8,29,0.12499999999999997,5
