scenario_idx,base,method,delta,direction_idx,iter,loss
6,tonic,nm,0.1,6,5,2.3569576740264893
6,tonic,nm,0.1,6,6,4.399840354919434
6,tonic,nm,0.1,6,7,0.8110547065734863
6,tonic,nm,0.1,6,8,2.004152297973633
6,tonic,nm,0.1,6,9,0.3913697600364685
6,tonic,nm,0.1,6,10,0.20073401927947998
6,tonic,nm,0.1,6,11,0.16912882030010223
6,tonic,nm,0.1,6,12,0.6850653290748596
6,tonic,nm,0.1,6,13,0.2814617455005646
6,tonic,nm,0.1,6,14,0.41995155811309814
6,tonic,nm,0.1,6,15,0.2912366986274719
6,tonic,nm,0.1,6,16,0.16918623447418213
6,tonic,nm,0.1,6,17,0.08724943548440933
6,tonic,nm,0.1,6,18,0.06014149636030197
6,tonic,nm,0.1,6,19,0.19620835781097412
6,tonic,nm,0.1,6,20,0.12387397140264511
6,tonic,nm,0.1,6,21,0.04737231880426407
6,tonic,nm,0.1,6,22,0.04879161715507507
6,tonic,nm,0.1,6,23,0.017908211797475815
6,tonic,nm,0.1,6,24,0.03716697543859482
7,tonic,grad,0.1,7,0,1.9994056224822998
7,tonic,grad,0.1,7,1,0.45418357849121094
7,tonic,grad,0.1,7,2,0.5951325297355652
7,tonic,grad,0.1,7,3,0.9631815552711487
7,tonic,grad,0.1,7,4,0.9403588175773621
7,tonic,grad,0.1,7,5,0.659177839756012
7,tonic,grad,0.1,7,6,0.3557129502296448
7,tonic,grad,0.1,7,7,0.17552310228347778
7,tonic,grad,0.1,7,8,0.15822602808475494
7,tonic,grad,0.1,7,9,0.2343943864107132
7,tonic,grad,0.1,7,10,0.2985905706882477
7,tonic,grad,0.1,7,11,0.28756940364837646
7,tonic,grad,0.1,7,12,0.20983797311782837
7,tonic,grad,0.1,7,13,0.11210358887910843
7,tonic,grad,0.1,7,14,0.04203511029481888
7,tonic,grad,0.1,7,15,0.018671033903956413
7,tonic,grad,0.1,7,16,0.03513161465525627
7,tonic,grad,0.1,7,17,0.06856423616409302
7,tonic,grad,0.1,7,18,0.09610101580619812
7,tonic,grad,0.1,7,19,0.1033114641904831
7,tonic,grad,0.1,7,20,0.08900321274995804
7,tonic,grad,0.1,7,21,0.061596959829330444
7,tonic,grad,0.1,7,22,0.033565059304237366
7,tonic,grad,0.1,7,23,0.015272872522473335
7,tonic,grad,0.1,7,24,0.011696799658238888
7,tonic,nm,0.1,7,0,1.9994056224822998
7,tonic,nm,0.1,7,1,2.195711135864258
7,tonic,nm,0.1,7,2,19.57040023803711
7,tonic,nm,0.1,7,3,2.6740622520446777
7,tonic,nm,0.1,7,4,2.5129246711730957
