scenario,method,delta,direction_idx,gamma,n_spikes_sim,n_spikes_gt,init_loss,final_loss,kept_source,n_iter,n_clipped,elapsed_s,param_err_C_m,param_err_g_L,param_err_E_L,param_err_v_T,param_err_delta_T,param_err_v_reset
tonic,grad_guarino,0.2,22,1.0,9,9,1.5718415975570679,0.12764358520507812,training,500,0,1.9809391498565674,0.08248967709748642,0.17061305046081543,0.1328667534722222,0.0748968505859375,0.07333453078018992,0.030197579520089286
tonic,grad_vanrossum,0.2,22,0.25694444444444436,7,9,3.5574376583099365,3.5574376583099365,init,500,0,3.4589600563049316,0.08851755714249088,0.04295092193525729,0.10189495794081438,0.02518001867380491,0.13835405340610604,0.012704349427032875
tonic,nm_guarino,0.2,22,1.0,9,9,1.1718860864639282,0.03254574164748192,training,522,0,0.8811681270599365,0.09232116267354105,0.037293304068952926,0.10382439917376018,0.12641697438550636,0.13607143758855925,0.0065459412975513945
tonic,grad_guarino,0.2,23,0.4210526315789474,10,9,1.1478912830352783,0.7285619378089905,training,500,0,2.0980172157287598,0.10440056842306386,0.10958421230316162,0.047602674696180555,0.1303082275390625,0.0321646113144724,0.011838640485491072
tonic,grad_vanrossum,0.2,23,0.36428571428571427,11,9,3.691206693649292,3.42191481590271,training,500,0,3.836439847946167,0.10237353780995244,0.053832054138183594,0.05808987087673611,0.14766937255859375,0.00960934789557206,0.027819606236049108
tonic,nm_guarino,0.2,23,1.0,9,9,1.0477973222732544,0.0185039434581995,training,870,0,1.1083550453186035,0.12696955345500546,0.08879730416751186,0.03791546198225433,0.09105258936665223,0.018223887909561823,0.02424946231200319
tonic,grad_guarino,0.2,24,0.19377162629757788,8,9,0.6021180152893066,0.5754956007003784,training,500,0,2.209326982498169,0.024553050165591034,0.1453847885131836,0.0823728773328993,0.02771881103515625,0.013697498723080284,0.08149697440011161
tonic,grad_vanrossum,0.2,24,1.0,9,9,3.297574758529663,1.1514110565185547,training,500,0,3.5830838680267334,0.02344061810037364,0.18573462963104248,0.08798200819227431,0.0150823974609375,0.0031819845500745273,0.06809485299246652
tonic,nm_guarino,0.2,24,1.0,9,9,0.5022203326225281,0.018703771755099297,training,644,0,0.9661960601806641,0.044331647259045204,0.14958284837302926,0.062026125456407045,0.026284501479324547,0.011522246093413645,0.010166319635331027
tonic,grad_guarino,0.2,25,0.0,25,9,32.31832504272461,32.31832504272461,init,42,0,1.2365810871124268,0.07371811437575636,0.025382090896492793,0.01451588523168823,0.04174020653087325,0.040366880389246164,0.1741807919288056
tonic,grad_vanrossum,0.2,25,0.0,25,9,26.34515953063965,26.34515953063965,init,24,0,0.8996868133544922,0.07371811437575636,0.025382090896492793,0.01451588523168823,0.04174020653087325,0.040366880389246164,0.1741807919288056
tonic,nm_guarino,0.2,25,1.0,9,9,6.718060493469238,0.022532954812049866,training,592,0,0.913578987121582,0.07778212444320591,0.00703580543636928,0.016345132640499097,0.10642126969746216,0.04005170971813411,0.024655620912402705
tonic,grad_guarino,0.2,26,0.07017543859649122,10,9,1.6893894672393799,1.0281157493591309,training,500,0,2.1582822799682617,0.022346695609714674,0.0354464054107666,0.03037261962890625,0.15839111328125,0.024991487201891448,0.10549109322684151
tonic,grad_vanrossum,0.2,26,0.007142857142857149,11,9,3.844303846359253,3.844303846359253,init,500,0,3.5115439891815186,0.02340382238116327,0.005477323732516304,0.03591327139528428,0.16795979423408142,0.012387895104758333,0.09883594759037534
tonic,nm_guarino,0.2,26,1.0,9,9,1.2892922163009644,0.007259709760546684,training,750,0,1.0165927410125732,0.026648570401179135,0.06749752926484875,0.04028875220614307,0.038776461901038034,0.022795027110656705,0.007107640269843176
tonic,grad_guarino,0.2,27,0.21153846153846156,17,9,10.299158096313477,10.07289981842041,training,500,0,2.02951717376709,0.1716576617697011,0.04075825214385986,0.03027411566840278,0.05558197021484375,0.02213660666817113,0.05632117135184152
tonic,grad_vanrossum,0.2,27,0.21153846153846156,17,9,9.039499282836914,8.594398498535156,training,500,0,3.717057228088379,0.1716576617697011,0.04075825214385986,0.03027411566840278,0.05558197021484375,0.02213660666817113,0.05632117135184152
tonic,nm_guarino,0.2,27,1.0,9,9,3.8989903926849365,0.049932628870010376,training,682,0,1.0039129257202148,0.16026660247487948,0.04197270519835827,0.10711088630667626,0.06265404686020332,0.02074324096865918,0.019747535793711028
tonic,grad_guarino,0.2,28,0.1319444444444445,9,9,0.8074954748153687,0.3303573727607727,training,500,1,2.106268882751465,0.0632235983143682,0.030432939529418945,0.026212056477864582,0.10923858642578126,0.042348115067732964,0.008576311383928571
tonic,grad_vanrossum,0.2,28,0.47916666666666674,9,9,3.6946523189544678,2.836381196975708,training,500,1,3.6771979331970215,0.06410814368206522,0.02547931671142578,0.03136969672309028,0.11343002319335938,0.03727223371204577,0.014824785505022321
tonic,nm_guarino,0.2,28,1.0,9,9,0.8074130415916443,0.015297177247703075,training,760,1,1.041837215423584,0.04353220635645525,0.0703888653770397,0.014519250610094837,0.11313202499150748,0.05162684501533596,0.014801846420042303
tonic,grad_guarino,0.2,29,0.020761245674740504,8,9,2.919221878051758,0.9319475889205933,training,500,0,1.9661996364593506,0.10211181640625,0.023334264755249023,0.03227691650390625,0.054934539794921876,0.001023882313778526,0.10307726178850446
tonic,grad_vanrossum,0.2,29,0.47916666666666674,9,9,3.6369333267211914,2.3611176013946533,training,500,0,3.472684144973755,0.10379844333814538,0.05251288414001465,0.03988986545138889,0.04251693725585937,0.01433185527199193,0.12765492030552456
tonic,nm_guarino,0.2,29,1.0,9,9,2.0192573070526123,0.01359886396676302,training,980,0,1.2009811401367188,0.08164187954536567,0.08046781794529623,0.019648479431398552,0.08278790572565868,0.023500235493674568,0.019396676666717586
tonic,grad_guarino,0.4,0,-0.09027777777777786,7,9,1.7556933164596558,1.7468088865280151,training,500,0,2.0013649463653564,0.03542533542798913,0.20412635803222656,0.02900305853949653,0.019344024658203125,0.32310249930933904,0.1266106741768973
tonic,grad_vanrossum,0.4,0,0.020761245674740504,8,9,4.049585342407227,3.7751197814941406,training,500,0,4.497792959213257,0.03743571405825408,0.14591681957244873,0.039273240831163195,0.037868804931640625,0.29869965503090307,0.12742255074637276
tonic,nm_guarino,0.4,0,1.0,9,9,1.3557376861572266,0.0673084482550621,training,1000,0,1.6499090194702148,0.025434830965861754,0.16013280417114872,0.09860511454409739,0.16821005777700862,0.3250480593837336,0.06629256996210253
tonic,grad_guarino,0.4,1,0.21153846153846156,17,9,14.53109359741211,10.00832462310791,training,500,1,2.0540411472320557,0.009032008958899456,0.16318190097808838,0.10335269504123264,0.1231134033203125,0.07301033170599687,0.16828024727957588
tonic,grad_vanrossum,0.4,1,0.4977777777777778,16,9,12.578084945678711,7.974940299987793,training,500,1,3.4818930625915527,0.010511116359544838,0.1915886402130127,0.09562123616536458,0.111593017578125,0.0875472771494012,0.1829181126185826
tonic,nm_guarino,0.4,1,1.0,9,9,4.530896186828613,0.03249342367053032,training,608,1,0.9058351516723633,0.013161907502771812,0.14069983697995703,0.07907561482611748,0.012844751214867074,0.05766537639203376,0.030473062593555613
tonic,grad_guarino,0.4,2,-0.08058608058608058,4,9,6.2205023765563965,6.2205023765563965,init,500,0,1.9345698356628418,0.02198932094104281,0.1134692530838981,0.0005087865759258471,0.15784220646282307,0.3483232105130893,0.01994287798077039
tonic,grad_vanrossum,0.4,2,0.46886446886446886,4,9,5.672397136688232,4.996155261993408,training,500,0,3.399329900741577,0.019769486137058423,0.05172693729400635,0.010788981119791667,0.1778314208984375,0.37538312610826996,0.06419546944754465
tonic,nm_guarino,0.4,2,1.0,9,9,3.7204983234405518,0.08099304884672165,training,759,0,1.0674309730529785,0.04828748527914807,0.022640648125665574,0.10826555483395674,0.13284728611569277,0.36400516648984577,0.09105664878427494
tonic,grad_guarino,0.4,3,-0.2637362637362637,4,9,9.09134292602539,6.4268364906311035,training,500,1,2.179677963256836,0.17060440726902174,0.26677393913269043,0.22231038411458334,0.17714431762695312,0.021629427608690764,0.0009172712053571429
tonic,grad_vanrossum,0.4,3,0.10256410256410257,4,9,6.095618724822998,5.478440761566162,training,500,1,3.3958680629730225,0.17573189113451088,0.22314023971557617,0.2337982177734375,0.18465469360351563,0.01231916954642848,0.04073410034179688
tonic,nm_guarino,0.4,3,1.0,9,9,5.491335391998291,0.02265860140323639,training,694,1,0.9656240940093994,0.10236961459897687,0.20521762442128355,0.08020989819281522,0.0060609126792263626,0.014471171906972885,0.0013267627127683162
tonic,grad_guarino,0.4,4,0.5454545454545442,24,9,28.91543197631836,28.91543197631836,init,18,1,1.1093010902404785,0.0740800773125008,0.17940090819215504,0.1111111111111111,0.12201330180453197,0.041573961605124124,0.27846697641167056
tonic,grad_vanrossum,0.4,4,0.5454545454545442,24,9,24.402236938476562,24.402236938476562,init,57,1,1.0570809841156006,0.0740800773125008,0.17940090819215504,0.1111111111111111,0.12201330180453197,0.041573961605124124,0.27846697641167056
tonic,nm_guarino,0.4,4,1.0,9,9,6.415172576904297,0.05572068318724632,training,655,1,0.9456918239593506,0.05649722988276823,0.19706458397535598,0.11052063201557555,0.2681723739433545,0.041250918474710165,0.07974812448425561
tonic,grad_guarino,0.4,5,-0.5625,9,9,1.212381362915039,0.5413602590560913,training,500,1,1.9460370540618896,0.024072132939877717,0.20969033241271973,0.0625669691297743,0.08378570556640624,0.0292702223125257,0.22367030552455358
tonic,grad_vanrossum,0.4,5,0.6527777777777778,9,9,4.2234697341918945,2.677534341812134,training,500,1,3.4005298614501953,0.022888249936311143,0.17316293716430664,0.056636216905381946,0.07263595581054688,0.014370792790463096,0.2146604265485491
tonic,nm_guarino,0.4,5,1.0,9,9,1.1122950315475464,0.03455575183033943,training,714,1,0.974855899810791,0.012570482301015564,0.2614137087900268,0.11113390987617575,0.017246330568192435,0.0521485788483313,0.03112350051236774
